place,gender,city,state,country,split_1,split_2,split_3,split_4,split_5,split_6,split_7,split_8,split_9,split_10,split_11,split_12,split_13,split_14,split_15,split_16,split_17,split_18,split_19,split_20,half_maraton_time,avg_pace,age
1,M,Huntsville,AL,US,1:45,1:46,3:20,3:19,4:02,3:52,3:51,4:03,4:03,4:06,4:12,4:10,4:12,4:11,4:00,4:10,4:08,4:11,4:07,6:00,17:28.1,5:55,36
2,M,Huntsville,AL,US,1:45,1:46,3:19,3:18,4:04,4:05,4:17,4:22,4:27,4:28,4:25,4:26,4:32,4:16,4:08,4:00,4:10,4:09,4:14,4:24,18:33.3,6:00,38
3,M,Madison,AL,US,1:48,1:51,3:21,3:25,4:12,4:13,4:23,4:19,4:20,4:18,4:21,4:19,4:25,4:26,4:22,4:19,4:19,4:20,4:17,4:12,19:29.2,6:04,37
4,M,Huntsville,AL,US,1:49,1:56,3:28,3:26,4:16,4:13,4:13,4:18,4:18,4:20,4:23,4:31,4:29,4:34,4:32,4:38,4:43,4:47,4:51,4:40,22:23.8,6:17,34
5,M,Huntsville,AL,US,1:49,1:56,3:27,3:26,4:16,4:13,4:14,4:18,4:17,4:20,4:24,4:30,4:37,4:43,4:42,4:49,4:34,4:51,4:56,5:03,23:23.4,6:22,19
6,F,Huntsville,AL,US,1:54,1:56,3:35,4:34,4:29,4:31,4:31,4:33,4:33,4:36,4:34,4:35,4:38,4:38,4:35,4:34,4:35,4:36,4:36,4:48,25:22.0,6:31,28
7,M,Huntsville,AL,US,1:55,1:56,3:35,4:34,4:29,4:31,4:31,4:33,4:33,4:36,4:34,4:36,4:37,4:38,4:35,4:35,4:35,4:44,4:36,4:48,25:32.0,6:32,27
8,M,Huntsville,AL,US,2:08,1:58,3:42,4:37,4:39,4:48,4:48,4:46,4:51,4:54,4:50,4:34,4:27,4:33,4:33,4:24,4:18,4:33,4:38,4:31,26:30.2,6:36,16
9,M,Madison,AL,US,1:51,1:55,3:27,3:24,4:15,8:31,4:19,4:19,4:21,4:22,8:45,4:21,4:24,4:25,4:23,4:22,4:20,4:22,4:17,2:38,27:02.7,6:39,29
10,M,Madison,AL,US,1:56,1:58,3:35,4:32,4:31,4:31,4:34,4:34,4:39,4:43,4:45,4:46,4:46,4:45,4:46,4:47,4:46,4:43,4:49,4:43,27:08.4,6:39,28
11,M,Madison,AL,US,2:02,2:05,3:45,4:44,4:40,4:43,4:40,4:37,4:43,4:44,4:54,4:49,4:50,5:00,4:57,4:49,4:54,4:56,4:50,4:31,29:12.0,6:49,17
12,M,Hazel Green,AL,US,2:27,2:13,4:01,4:45,4:38,4:49,4:47,4:55,4:52,4:51,4:50,4:53,4:55,4:55,4:45,4:35,4:35,4:37,4:47,5:05,30:13.5,6:53,35
13,M,Chattanooga,TN,US,1:55,1:57,3:34,4:35,4:38,4:40,4:46,4:41,4:47,4:53,4:52,4:54,5:02,4:57,4:57,4:53,4:57,5:04,5:08,5:06,30:16.2,6:53,44
14,M,Auburn,AL,US,2:01,2:05,3:45,4:35,4:40,4:49,4:50,4:49,4:55,4:54,4:55,4:55,4:54,4:55,4:59,4:53,4:54,4:59,5:02,5:04,30:52.4,6:56,39
15,F,Myrtle Beach,SC,US,2:04,2:10,3:59,4:52,4:56,4:53,4:53,4:57,5:01,5:02,5:06,5:07,5:04,5:04,5:01,5:11,5:09,4:57,5:16,2:21,31:03.4,6:57,47
16,M,Huntsville,AL,US,2:09,2:11,4:13,4:57,4:49,4:52,4:52,4:55,4:51,4:52,4:56,4:53,4:58,4:53,4:53,4:51,4:50,4:47,4:42,4:43,31:06.6,6:57,25
17,M,Huntsville,AL,US,2:11,2:03,3:52,4:42,4:52,4:47,4:52,4:53,4:54,4:52,4:54,4:53,4:59,4:58,4:58,4:58,5:01,5:03,5:04,5:03,31:49.9,7:01,38
18,M,Birmingham,AL,US,2:11,2:10,4:16,5:08,5:05,5:09,5:12,5:10,5:15,5:35,5:32,5:40,5:32,5:17,5:14,5:16,5:20,5:29,2:22,2:13,33:08.0,7:07,25
19,M,Decatur,AL,US,2:00,1:59,3:37,4:35,4:44,4:50,4:58,4:59,4:56,5:08,5:02,5:02,5:13,5:01,5:05,5:10,5:10,5:12,5:10,5:17,33:09.2,7:07,39
20,M,Madison,AL,US,2:38,2:27,4:24,5:13,5:05,5:02,5:15,5:03,5:01,5:07,5:01,5:03,4:59,4:57,5:03,5:00,4:54,4:59,4:48,4:43,34:40.6,7:14,33
21,M,Madison,AL,US,2:10,2:11,4:15,5:01,4:59,4:58,5:06,5:07,5:14,5:10,5:08,5:03,5:09,5:17,5:09,5:13,5:14,5:12,4:58,4:53,35:25.4,7:17,28
22,M,New Market,AL,US,2:09,2:07,4:16,5:06,5:06,5:09,5:12,5:09,5:09,5:10,5:15,5:17,5:26,5:10,5:03,5:02,5:09,5:02,5:09,5:05,36:13.5,7:21,64
23,M,Hazel Green,AL,US,2:10,2:09,4:16,5:08,5:05,5:08,5:13,5:09,5:10,5:10,5:15,5:17,5:26,5:10,5:03,4:58,4:56,4:59,4:17,6:39,36:40.4,7:23,14
24,F,Tifton,GA,US,2:10,2:10,4:15,5:09,5:05,5:09,5:12,5:09,5:09,5:10,5:15,5:18,5:26,5:10,5:04,4:58,4:55,4:59,4:45,6:13,36:41.6,7:23,23
25,M,New Market,AL,US,2:12,2:11,4:14,5:07,5:07,5:07,5:12,5:09,5:09,5:10,5:16,5:18,5:26,5:10,5:02,5:00,5:03,5:13,5:14,5:26,36:45.2,7:23,25
26,M,Huntsville,AL,US,2:08,2:10,4:09,5:03,5:00,5:04,5:05,5:02,5:03,5:02,5:06,5:12,5:10,5:14,5:15,5:21,5:22,5:32,5:28,5:30,36:57.7,7:24,25
27,M,Madison,AL,US,2:01,2:12,3:56,4:55,5:02,5:06,4:56,5:00,5:06,5:17,15:47,5:14,16:16,11:06,5:12,0:00,0:00,0:00,0:00,,37:06.0,7:25,59
28,M,Boaz,AL,US,2:20,2:27,4:12,5:10,5:24,5:23,5:20,5:15,5:09,5:13,5:16,5:10,5:07,5:11,5:06,5:02,4:58,5:13,5:00,5:15,37:09.6,7:25,48
29,M,Huntsville,AL,US,2:27,2:17,4:17,5:08,5:09,5:13,5:09,5:15,5:14,5:07,5:17,5:08,5:19,5:15,5:07,5:11,5:18,5:15,5:14,5:08,37:30.3,7:27,46
30,M,Baileyton,AL,US,2:55,4:23,4:51,4:44,4:47,4:52,4:47,4:50,4:51,4:45,4:50,4:52,4:44,4:49,4:50,9:57,5:08,5:19,5:15,2:05,37:32.9,7:27,19
31,M,Ooltewah,TN,US,2:25,2:22,4:30,5:18,5:09,5:14,5:15,5:15,5:10,5:14,5:12,5:10,5:09,5:10,5:05,5:06,5:09,5:10,5:17,5:22,37:43.6,7:28,47
32,M,Gurley,AL,US,2:13,2:10,4:16,5:10,5:09,5:07,5:13,5:10,5:11,5:09,5:12,5:14,5:26,5:17,5:19,5:23,5:18,5:20,5:22,5:28,38:07.2,7:29,38
33,F,Huntsville,AL,US,,,,,,,,,,,,,,,,,,,,,38:17.0,7:30,44
33,M,Huntsville,AL,US,2:02,2:05,3:46,4:51,5:06,5:10,5:10,5:13,5:20,5:22,5:21,5:23,5:26,5:34,5:28,5:29,5:30,5:29,5:28,5:08,38:18.6,7:30,48
34,M,Fitchburg,WI,US,2:31,2:23,4:40,5:18,5:16,5:15,5:12,5:13,5:12,5:11,5:10,5:13,5:16,5:16,5:16,5:19,5:18,5:22,5:24,5:17,39:01.4,7:34,44
35,M,Huntsville,AL,US,1:08,0:20,0:20,2:07,2:01,3:08,5:24,5:16,5:08,5:10,5:10,5:12,5:15,5:21,5:26,5:26,5:14,5:19,5:15,21:22,39:02.6,7:34,23
36,M,La Vergne,TN,US,2:06,2:11,3:57,4:53,5:01,5:04,5:01,5:06,5:13,5:14,5:23,5:24,5:21,5:29,6:00,5:35,5:32,5:32,5:39,5:32,39:13.5,7:34,23
37,M,Meridianville,AL,US,2:39,2:23,4:05,5:05,5:07,5:16,5:22,5:15,5:12,5:16,5:22,5:27,5:22,5:25,5:32,5:27,5:25,5:19,5:05,5:13,39:15.8,7:35,33
38,M,Huntsville,AL,US,2:08,2:01,3:42,4:53,5:13,5:07,5:23,5:17,5:28,5:28,5:14,5:07,5:03,5:18,5:27,5:33,5:39,6:03,5:54,5:31,39:26.1,7:35,24
39,M,Athens,AL,US,2:27,3:47,4:35,4:37,4:40,4:46,4:42,4:47,4:53,4:52,4:54,5:03,5:01,5:14,5:33,5:48,5:50,6:03,6:01,6:01,39:33.4,7:36,27
40,M,Fort Payne,AL,US,2:23,2:19,4:32,5:08,5:07,5:12,5:12,5:13,5:19,5:19,5:21,5:23,5:25,5:31,5:33,5:35,5:40,5:42,5:35,5:30,40:58.2,7:42,31
41,F,Huntsville,AL,US,2:17,2:18,4:29,5:19,5:21,5:24,5:26,5:31,5:29,5:28,5:26,5:25,5:28,5:33,5:25,5:30,5:17,5:23,5:23,5:12,41:03.7,7:43,27
42,M,Albertville,AL,US,2:55,4:07,4:42,4:40,4:43,4:39,4:37,4:43,4:43,4:53,14:27,5:10,4:56,4:47,4:56,4:50,4:48,5:08,2:39,4:45,41:09.9,7:43,29
43,F,Phenix City,AL,US,2:25,2:18,9:38,5:15,5:15,5:14,5:05,5:05,5:10,5:08,5:06,5:08,5:09,5:08,5:04,5:03,5:04,5:02,4:56,4:58,41:10.7,7:43,25
44,M,Hanceville,AL,US,2:14,2:09,4:06,4:59,5:06,5:11,5:18,5:22,5:21,5:27,5:38,5:30,5:38,5:29,5:35,5:40,5:49,5:49,5:36,5:25,41:23.2,7:44,48
45,M,Jacksonville,AL,US,2:39,2:26,4:39,5:32,5:35,5:31,5:26,5:16,5:24,5:22,5:27,5:34,5:28,5:31,5:27,5:22,5:25,5:17,5:20,5:04,41:46.1,7:46,44
46,F,Huntsville,AL,US,2:23,2:29,4:33,5:23,5:21,5:24,5:31,5:31,5:35,5:22,5:25,5:28,5:26,5:22,5:27,5:27,5:29,5:28,5:33,5:17,41:52.6,7:47,25
47,M,Madison,AL,US,2:32,2:26,4:23,5:29,5:25,5:25,5:38,5:28,5:28,5:25,5:31,5:32,5:25,5:25,5:26,5:21,5:28,5:28,5:30,5:19,42:03.9,7:47,33
48,M,Hazel Green,AL,US,2:37,2:23,4:33,5:19,4:54,5:21,5:14,5:16,5:25,5:23,5:24,5:29,5:19,5:34,5:38,5:44,5:38,5:39,5:40,5:38,42:08.5,7:48,41
49,F,Huntsville,AL,US,2:16,2:17,4:13,5:06,5:07,5:10,5:16,5:11,5:21,5:16,5:28,5:32,5:26,5:37,5:38,5:41,5:47,5:49,5:58,6:01,42:09.0,7:48,24
50,M,Madison,AL,US,2:35,2:27,4:41,5:38,5:37,5:38,5:40,5:32,5:47,5:50,5:56,5:55,5:44,5:32,5:15,5:01,5:02,4:57,4:56,4:36,42:17.8,7:49,24
